Transition,FREQUENCY,SUM_Area_k,
HH,HL,65,0.999677058
HH,LL,3,0.001749348
HH,NN,42,0.198457483
HH,NS,42,0.193432419
HL,HH,12,0.28543345
HL,HL,62,5.786792232
HL,LH,9,0.010153143
HL,LL,58,0.696855782
HL,NN,67,21.21252216
HL,NS,57,4.971879186
LH,HH,1,0.000341166
LH,HL,26,0.08402816
LH,NN,21,0.022542271
LH,NS,22,0.021231847
LL,HH,3,0.000486363
LL,HL,73,0.387154456
LL,LL,5,0.003765632
LL,NN,118,1.21818594
LL,NS,8,0.036723782
NN,HH,3165,156.6952349
NN,HL,1090,1042.567655
NN,LH,1252,34.85209254
NN,LL,3620,41.29457546
NN,NN,48,9623.305142
NN,NS,7000,554.4778645
NS,HH,39,0.446988225
NS,HL,224,6.680288644
NS,LH,14,0.106381358
NS,LL,5,0.001259803
NS,NN,350,4.525364492
NS,NS,220,3.39230576
